Nama Wilayah,
,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen)
,2007
ACEH,26.65
Simeulue,32.26
Aceh Singkil,28.54
Aceh Selatan,24.72
Aceh Tenggara,21.6
Aceh Timur,28.15
Aceh Tengah,24.41
Aceh Barat,32.63
Aceh Besar,26.69
Pidie,33.31
Bireuen,27.18
Aceh Utara,33.16
Aceh Barat Daya,28.63
Gayo Lues,32.31
Aceh Tamiang,22.19
Nagan Raya,33.61
Aceh Jaya,29.28
Bener Meriah,26.55
Pidie Jaya,35
Kota Banda Aceh,6.61
Kota Sabang,27.13
Kota Langsa,14.25
Kota Lhokseumawe,12.75
Kota Subulussalam,30.16
SUMATERA UTARA,13.9
Nias,31.75
Mandailing Natal,18.74
Tapanuli Selatan,20.33
Tapanuli Tengah,27.47
Tapanuli Utara,20.06
Toba Samosir,15.28
Labuhan Batu,12.33
Asahan,13.77
Simalungun,14.84
Dairi,15.82
Karo,14.47
Deli Serdang,5.67
Langkat,18.23
Nias Selatan,33.84
Humbang Hasundutan,18.84
Pakpak Bharat,22.42
Samosir,27.76
Serdang Bedagai,11.84
Batu Bara,17.89
Padang Lawas Utara,-
Padang Lawas,-
Labuhan Batu Selatan,-
Labuhan Batu Utara,-
Nias Utara,-
Nias Barat,-
Kota Sibolga,9.73
Kota Tanjung Balai,11.52
Kota Pematang Siantar,9.46
Kota Tebing Tinggi,9.67
Kota Medan,7.17
Kota Binjai,5.72
Kota Padangsidimpuan,10.92
Kota Gunungsitoli,-
SUMATERA BARAT,11.9
Kepulauan Mentawai,15.99
Pesisir Selatan,13.21
Solok,17.59
Sijunjung,15.35
Tanah Datar,7.72
Padang Pariaman,17.12
Agam,12.59
Lima Puluh Kota,14.79
Pasaman,17.92
Solok Selatan,17.43
Dharmasraya,14.42
Pasaman Barat,13.76
Kota Padang,4.97
Kota Solok,4.59
Kota Sawah Lunto,2.25
Kota Padang Panjang,5.19
Kota Bukittinggi,5.23
Kota Payakumbuh,7.77
Kota Pariaman,5.87
RIAU,11.2
Kuantan Singingi,19.03
Indragiri Hulu,14.63
Indragiri Hilir,14.57
Pelalawan,18.07
Siak,6.01
Kampar,10.73
Rokan Hulu,21.86
Bengkalis,10.69
Rokan Hilir,9.41
Kepulauan Meranti,-
Kota Pekanbaru,2.24
Kota Dumai,6.28
JAMBI,10.27
Kerinci,11.3
Merangin,12.1
Sarolangun,16.11
Batang Hari,15.42
Muaro Jambi,7.13
Tanjung Jabung Timur,13.44
