Nama Wilayah,
,Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota
,2006
ACEH,5.28
Simeulue,7.38
Aceh Singkil,5.32
Aceh Selatan,5.83
Aceh Tenggara,5.06
Aceh Timur,6.22
Aceh Tengah,4.81
Aceh Barat,7.16
Aceh Besar,6.2
Pidie,5.88
Bireuen,6.17
Aceh Utara,5.3
Aceh Barat Daya,5.42
Gayo Lues,5.02
Aceh Tamiang,4.01
Nagan Raya,8.01
Aceh Jaya,6.01
Bener Meriah,3.7
Pidie Jaya,-
Kota Banda Aceh,0.88
Kota Sabang,5.26
Kota Langsa,2.99
Kota Lhokseumawe,2.55
Kota Subulussalam,-
SUMATERA UTARA,2.52
Nias,6.3
Mandailing Natal,3.24
Tapanuli Selatan,2.97
Tapanuli Tengah,6.83
Tapanuli Utara,2.79
Toba Samosir,2.71
Labuhan Batu,1.81
Asahan,1.97
Simalungun,3.03
Dairi,3.04
Karo,2.44
Deli Serdang,1.18
Langkat,4.03
Nias Selatan,6.46
Humbang Hasundutan,2.25
Pakpak Bharat,3.55
Samosir,2.97
Serdang Bedagai,1.39
Batu Bara,-
Padang Lawas Utara,-
Padang Lawas,-
Labuhan Batu Selatan,-
Labuhan Batu Utara,-
Nias Utara,-
Nias Barat,-
Kota Sibolga,1.39
Kota Tanjung Balai,2.17
Kota Pematang Siantar,1.69
Kota Tebing Tinggi,1.48
Kota Medan,1.38
Kota Binjai,1.16
Kota Padangsidimpuan,2.1
Kota Gunungsitoli,-
SUMATERA BARAT,2.04
Kepulauan Mentawai,2.58
Pesisir Selatan,1.88
Solok,3.01
Sijunjung,2.61
Tanah Datar,1.16
Padang Pariaman,2.8
Agam,2.62
Lima Puluh Kota,2.63
Pasaman,2.94
Solok Selatan,2.61
Dharmasraya,2.67
Pasaman Barat,1.99
Kota Padang,0.69
Kota Solok,0.81
Kota Sawah Lunto,0.4
Kota Padang Panjang,0.68
Kota Bukittinggi,0.81
Kota Payakumbuh,1.08
Kota Pariaman,1.12
RIAU,1.43
Kuantan Singingi,3.54
Indragiri Hulu,2.86
Indragiri Hilir,2.36
Pelalawan,3.48
Siak,0.7
Kampar,1.94
Rokan Hulu,4.96
Bengkalis,1.74
Rokan Hilir,1.61
Kepulauan Meranti,-
Kota Pekanbaru,0.24
Kota Dumai,1.22
JAMBI,1.95
Kerinci,1.75
Merangin,2.3
Sarolangun,3.19
Batang Hari,2.22
