Nama Wilayah,
,Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota
,2014
ACEH,3.14
Simeulue,2.68
Aceh Singkil,2.65
Aceh Selatan,1.85
Aceh Tenggara,2.32
Aceh Timur,2.89
Aceh Tengah,2.18
Aceh Barat,4.3
Aceh Besar,2.76
Pidie,3.4
Bireuen,2.21
Aceh Utara,3.08
Aceh Barat Daya,2.58
Gayo Lues,4.11
Aceh Tamiang,1.76
Nagan Raya,3.87
Aceh Jaya,2.47
Bener Meriah,3.47
Pidie Jaya,2.92
Kota Banda Aceh,1.03
Kota Sabang,3.4
Kota Langsa,1.85
Kota Lhokseumawe,1.86
Kota Subulussalam,2.99
SUMATERA UTARA,1.71
Nias,1.65
Mandailing Natal,1.32
Tapanuli Selatan,1.19
Tapanuli Tengah,1.89
Tapanuli Utara,1.33
Toba Samosir,1.25
Labuhan Batu,1.4
Asahan,1.75
Simalungun,1.23
Dairi,1.1
Karo,1.02
Deli Serdang,0.43
Langkat,1.22
Nias Selatan,2.43
Humbang Hasundutan,1.03
Pakpak Bharat,1.11
Samosir,1.84
Serdang Bedagai,1.03
Batu Bara,1.58
Padang Lawas Utara,1.26
Padang Lawas,1.23
Labuhan Batu Selatan,1.43
Labuhan Batu Utara,1.62
Nias Utara,4.54
Nias Barat,4.16
Kota Sibolga,1.55
Kota Tanjung Balai,1.8
Kota Pematang Siantar,1.43
Kota Tebing Tinggi,1.22
Kota Medan,1.33
Kota Binjai,0.72
Kota Padangsidimpuan,1.45
Kota Gunungsitoli,4.47
SUMATERA BARAT,0.75
Kepulauan Mentawai,2.21
Pesisir Selatan,0.76
Solok,1.05
Sijunjung,1.1
Tanah Datar,0.48
Padang Pariaman,1.11
Agam,0.77
Lima Puluh Kota,0.82
Pasaman,1.06
Solok Selatan,0.62
Dharmasraya,0.9
Pasaman Barat,0.63
Kota Padang,0.43
Kota Solok,0.57
Kota Sawah Lunto,0.23
Kota Padang Panjang,0.79
Kota Bukittinggi,0.95
Kota Payakumbuh,0.8
Kota Pariaman,0.75
RIAU,1.2
Kuantan Singingi,1.42
Indragiri Hulu,1.26
Indragiri Hilir,1.01
Pelalawan,2.11
Siak,0.62
Kampar,1.22
Rokan Hulu,1.23
Bengkalis,1.06
Rokan Hilir,0.85
Kepulauan Meranti,6.59
Kota Pekanbaru,0.29
Kota Dumai,0.38
JAMBI,1.12
Kerinci,1.1
Merangin,1.39
Sarolangun,1.08
