38 Provinsi,,,,,,,,,
,Indeks Kedalaman Kemiskinan (P1) Menurut Provinsi dan Daerah (Persen),,,,,,,,
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,
,2007,,,2007,,,2007,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,-,-,3.86,-,-,6.04,-,-,5.41
SUMATERA UTARA,-,-,2.34,-,-,2.01,-,-,2.17
SUMATERA BARAT,-,-,1.35,-,-,2.1,-,-,1.84
RIAU,-,-,2.02,-,-,2.35,-,-,2.18
JAMBI,-,-,3.08,-,-,1.31,-,-,1.88
SUMATERA SELATAN,-,-,4.92,-,-,3.16,-,-,3.84
BENGKULU,-,-,4.45,-,-,3.81,-,-,4.03
LAMPUNG,-,-,3.23,-,-,4.2,-,-,3.94
KEP. BANGKA BELITUNG,-,-,1.25,-,-,2.08,-,-,1.68
KEP. RIAU,-,-,2.33,-,-,1.42,-,-,1.9
DKI JAKARTA,-,-,0.59,-,-,-,-,-,0.59
JAWA BARAT,-,-,1.93,-,-,2.74,-,-,2.26
JAWA TENGAH,-,-,3.33,-,-,4.32,-,-,3.84
DI YOGYAKARTA,-,-,3.08,-,-,5.08,-,-,3.8
JAWA TIMUR,-,-,2.76,-,-,5.01,-,-,3.91
BANTEN,-,-,1.09,-,-,1.86,-,-,1.4
BALI,-,-,0.98,-,-,0.87,-,-,0.94
NUSA TENGGARA BARAT,-,-,6.85,-,-,3.89,-,-,5.13
NUSA TENGGARA TIMUR,-,-,3.89,-,-,5.08,-,-,4.87
KALIMANTAN BARAT,-,-,2,-,-,1.7,-,-,1.79
KALIMANTAN TENGAH,-,-,0.98,-,-,2.04,-,-,1.68
KALIMANTAN SELATAN,-,-,0.7,-,-,0.89,-,-,0.81
KALIMANTAN TIMUR,-,-,1.17,-,-,2.86,-,-,1.81
KALIMANTAN UTARA,-,-,-,-,-,-,-,-,-
SULAWESI UTARA,-,-,1.3,-,-,2.33,-,-,1.88
SULAWESI TENGAH,-,-,2.14,-,-,5.08,-,-,4.46
SULAWESI SELATAN,-,-,0.91,-,-,3.4,-,-,2.6
SULAWESI TENGGARA,-,-,0.78,-,-,5.39,-,-,4.33
GORONTALO,-,-,1.82,-,-,7.27,-,-,5.57
SULAWESI BARAT,-,-,1.73,-,-,3.02,-,-,2.59
MALUKU,-,-,2.38,-,-,7.79,-,-,6.38
MALUKU UTARA,-,-,1.25,-,-,2.64,-,-,2.23
PAPUA BARAT,-,-,0.73,-,-,16.58,-,-,12.97
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,-,-,1.25,-,-,13.67,-,-,10.84
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,1.4,1.29,2.15,2.55,2.4,3.78,1.97,1.84,2.99
