Nama Wilayah,
,Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota
,2015
ACEH,0.83
Simeulue,0.64
Aceh Singkil,1.84
Aceh Selatan,0.42
Aceh Tenggara,0.83
Aceh Timur,0.59
Aceh Tengah,0.6
Aceh Barat,1.38
Aceh Besar,0.55
Pidie,1.41
Bireuen,0.47
Aceh Utara,0.82
Aceh Barat Daya,0.61
Gayo Lues,1.07
Aceh Tamiang,0.44
Nagan Raya,1.06
Aceh Jaya,0.55
Bener Meriah,0.83
Pidie Jaya,1.06
Kota Banda Aceh,0.5
Kota Sabang,0.85
Kota Langsa,0.57
Kota Lhokseumawe,0.62
Kota Subulussalam,0.91
SUMATERA UTARA,0.42
Nias,1.01
Mandailing Natal,0.3
Tapanuli Selatan,0.22
Tapanuli Tengah,0.45
Tapanuli Utara,0.35
Toba Samosir,0.21
Labuhan Batu,0.2
Asahan,0.36
Simalungun,0.26
Dairi,0.15
Karo,0.34
Deli Serdang,0.09
Langkat,0.42
Nias Selatan,0.62
Humbang Hasundutan,0.27
Pakpak Bharat,0.18
Samosir,0.3
Serdang Bedagai,0.3
Batu Bara,0.31
Padang Lawas Utara,0.22
Padang Lawas,0.18
Labuhan Batu Selatan,0.29
Labuhan Batu Utara,0.36
Nias Utara,1.6
Nias Barat,1.72
Kota Sibolga,0.69
Kota Tanjung Balai,0.46
Kota Pematang Siantar,0.32
Kota Tebing Tinggi,0.29
Kota Medan,0.24
Kota Binjai,0.17
Kota Padangsidimpuan,0.53
Kota Gunungsitoli,1.16
SUMATERA BARAT,0.21
Kepulauan Mentawai,0.71
Pesisir Selatan,0.15
Solok,0.3
Sijunjung,0.25
Tanah Datar,0.06
Padang Pariaman,0.2
Agam,0.17
Lima Puluh Kota,0.18
Pasaman,0.2
Solok Selatan,0.22
Dharmasraya,0.25
Pasaman Barat,0.32
Kota Padang,0.09
Kota Solok,0.08
Kota Sawah Lunto,0.03
Kota Padang Panjang,0.08
Kota Bukittinggi,0.23
Kota Payakumbuh,0.13
Kota Pariaman,0.09
RIAU,0.36
Kuantan Singingi,0.36
Indragiri Hulu,0.36
Indragiri Hilir,0.4
Pelalawan,0.65
Siak,0.12
Kampar,0.32
Rokan Hulu,0.34
Bengkalis,0.25
Rokan Hilir,0.34
Kepulauan Meranti,2.03
Kota Pekanbaru,0.08
Kota Dumai,0.11
JAMBI,0.35
Kerinci,0.36
Merangin,0.32
Sarolangun,0.18
Batang Hari,0.54
Muaro Jambi,0.13
Tanjung Jabung Timur,0.45
Tanjung Jabung Barat,0.61
Tebo,0.11
Bungo,0.12
Kota Jambi,0.25
Kota Sungai Penuh,0.12
SUMATERA SELATAN,0.64
Ogan Komering Ulu,0.47
Ogan Komering Ilir,0.85
Muara Enim,0.54
Lahat,0.7
Musi Rawas,0.4
Musi Banyuasin,0.65
Banyu Asin,0.75
Ogan Komering Ulu Selatan,0.34
Ogan Komering Ulu Timur,0.34
