38 Provinsi,,,,,,,,,
,Indeks Keparahan Kemiskinan (P2) Menurut Provinsi dan Daerah (Persen),,,,,,,,
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,
,2025,,,2025,,,2025,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,0.26,-,-,0.51,-,-,0.42,-,-
SUMATERA UTARA,0.26,-,-,0.26,-,-,0.26,-,-
SUMATERA BARAT,0.14,-,-,0.19,-,-,0.16,-,-
RIAU,0.21,-,-,0.19,-,-,0.2,-,-
JAMBI,0.32,-,-,0.14,-,-,0.2,-,-
SUMATERA SELATAN,0.33,-,-,0.4,-,-,0.37,-,-
BENGKULU,0.32,-,-,0.4,-,-,0.38,-,-
LAMPUNG,0.16,-,-,0.44,-,-,0.34,-,-
KEP. BANGKA BELITUNG,0.08,-,-,0.21,-,-,0.14,-,-
KEP. RIAU,0.18,-,-,0.23,-,-,0.18,-,-
DKI JAKARTA,0.11,-,-,-,-,-,0.11,-,-
JAWA BARAT,0.28,-,-,0.31,-,-,0.29,-,-
JAWA TENGAH,0.34,-,-,0.37,-,-,0.35,-,-
DI YOGYAKARTA,0.35,-,-,0.33,-,-,0.34,-,-
JAWA TIMUR,0.22,-,-,0.4,-,-,0.29,-,-
BANTEN,0.22,-,-,0.17,-,-,0.21,-,-
BALI,0.13,-,-,0.09,-,-,0.12,-,-
NUSA TENGGARA BARAT,0.4,-,-,0.31,-,-,0.36,-,-
NUSA TENGGARA TIMUR,0.3,-,-,1.04,-,-,0.84,-,-
KALIMANTAN BARAT,0.15,-,-,0.19,-,-,0.18,-,-
KALIMANTAN TENGAH,0.22,-,-,0.17,-,-,0.19,-,-
KALIMANTAN SELATAN,0.09,-,-,0.1,-,-,0.1,-,-
KALIMANTAN TIMUR,0.22,-,-,0.24,-,-,0.22,-,-
KALIMANTAN UTARA,0.39,-,-,0.12,-,-,0.29,-,-
SULAWESI UTARA,0.18,-,-,0.36,-,-,0.26,-,-
SULAWESI TENGAH,0.3,-,-,0.77,-,-,0.61,-,-
SULAWESI SELATAN,0.21,-,-,0.47,-,-,0.35,-,-
SULAWESI TENGGARA,0.32,-,-,0.54,-,-,0.45,-,-
GORONTALO,0.1,-,-,0.75,-,-,0.44,-,-
SULAWESI BARAT,0.28,-,-,0.44,-,-,0.41,-,-
MALUKU,0.14,-,-,1.36,-,-,0.8,-,-
MALUKU UTARA,0.28,-,-,0.19,-,-,0.22,-,-
PAPUA BARAT,0.37,-,-,1.55,-,-,1.18,-,-
PAPUA BARAT DAYA,0.35,-,-,3.52,-,-,1.72,-,-
PAPUA,0.27,-,-,3.37,-,-,1.49,-,-
PAPUA SELATAN,0.07,-,-,1.77,-,-,1.14,-,-
PAPUA TENGAH,0.21,-,-,1.95,-,-,1.52,-,-
PAPUA PEGUNUNGAN,0.11,-,-,1.54,-,-,1.44,-,-
INDONESIA,0.25,-,-,0.43,-,-,0.32,-,-
