38 Provinsi,,,,,,
,Garis Kemiskinan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah,,,,,
,Perkotaan,,,Perdesaan,,
,2016,,,2016,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,427970,445488,-,403985,415826,-
SUMATERA UTARA,398408,413835,-,377748,388707,-
SUMATERA BARAT,441523,454674,-,413790,425520,-
RIAU,426346,439542,-,425777,433960,-
JAMBI,438600,448615,-,342137,349735,-
SUMATERA SELATAN,388060,400159,-,331570,339874,-
BENGKULU,430572,458435,-,409863,427315,-
LAMPUNG,392488,398378,-,354678,357792,-
KEP. BANGKA BELITUNG,521773,553681,-,546998,573582,-
KEP. RIAU,494418,505980,-,466989,481687,-
DKI JAKARTA,510359,520690,-,-,-,-
JAWA BARAT,325017,332145,-,324937,331237,-
JAWA TENGAH,315269,322799,-,319188,322489,-
DI YOGYAKARTA,364786,370510,-,331308,337230,-
JAWA TIMUR,319662,329241,-,323779,328846,-
BANTEN,377052,382903,-,347765,351708,-
BALI,348571,357427,-,322660,328033,-
NUSA TENGGARA BARAT,343580,346581,-,326656,328775,-
NUSA TENGGARA TIMUR,386139,389661,-,306721,310296,-
KALIMANTAN BARAT,353143,366477,-,345480,360940,-
KALIMANTAN TENGAH,348254,357224,-,387202,392543,-
KALIMANTAN SELATAN,386462,399162,-,370612,380647,-
KALIMANTAN TIMUR,519653,535137,-,495975,510041,-
KALIMANTAN UTARA,523914,539499,-,499980,518305,-
SULAWESI UTARA,312328,314004,-,321985,322366,-
SULAWESI TENGAH,391070,399413,-,370392,376658,-
SULAWESI SELATAN,281676,286669,-,263674,267428,-
SULAWESI TENGGARA,289827,294286,-,271961,276978,-
GORONTALO,284308,287156,-,284190,285999,-
SULAWESI BARAT,273224,280117,-,290340,295739,-
MALUKU,412980,424788,-,415177,423698,-
MALUKU UTARA,390788,405368,-,371289,379454,-
PAPUA BARAT,487727,508262,-,466996,480945,-
PAPUA BARAT DAYA,-,-,-,-,-,-
PAPUA,466985,479294,-,412991,425264,-
PAPUA SELATAN,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-
INDONESIA,364527,372114,-,343647,350420,-
