Nama Wilayah,
,Garis Kemiskinan Menurut Kabupaten/Kota (Rupiah/kapita/bulan)
,2004
ACEH,129615
Simeulue,122606
Aceh Singkil,138438
Aceh Selatan,128779
Aceh Tenggara,114925
Aceh Timur,120719
Aceh Tengah,142361
Aceh Barat,125885
Aceh Besar,139607
Pidie,131852
Bireuen,132510
Aceh Utara,136900
Aceh Barat Daya,135867
Gayo Lues,147954
Aceh Tamiang,130724
Nagan Raya,144211
Aceh Jaya,138509
Bener Meriah,-
Pidie Jaya,-
Kota Banda Aceh,165391
Kota Sabang,144866
Kota Langsa,136093
Kota Lhokseumawe,146927
Kota Subulussalam,-
SUMATERA UTARA,122615
Nias,108535
Mandailing Natal,132958
Tapanuli Selatan,132536
Tapanuli Tengah,118788
Tapanuli Utara,128192
Toba Samosir,143766
Labuhan Batu,142577
Asahan,136855
Simalungun,116755
Dairi,123488
Karo,156389
Deli Serdang,121357
Langkat,142459
Nias Selatan,213289
Humbang Hasundutan,125387
Pakpak Bharat,121226
Samosir,-
Serdang Bedagai,-
Batu Bara,-
Padang Lawas Utara,-
Padang Lawas,-
Labuhan Batu Selatan,-
Labuhan Batu Utara,-
Nias Utara,-
Nias Barat,-
Kota Sibolga,135628
Kota Tanjung Balai,149762
Kota Pematang Siantar,143579
Kota Tebing Tinggi,137514
Kota Medan,156051
Kota Binjai,156659
Kota Padangsidimpuan,134895
Kota Gunungsitoli,-
SUMATERA BARAT,144704
Kepulauan Mentawai,83953
Pesisir Selatan,116109
Solok,119862
Sijunjung,120661
Tanah Datar,122405
Padang Pariaman,129419
Agam,128059
Lima Puluh Kota,128786
Pasaman,126990
Solok Selatan,-
Dharmasraya,-
Pasaman Barat,-
Kota Padang,205816
Kota Solok,104483
Kota Sawah Lunto,-
Kota Padang Panjang,151571
Kota Bukittinggi,148105
Kota Payakumbuh,163294
Kota Pariaman,116872
RIAU,179589
Kuantan Singingi,170319
Indragiri Hulu,170832
Indragiri Hilir,158414
Pelalawan,193881
Siak,150138
Kampar,144859
Rokan Hulu,209721
Bengkalis,155860
Rokan Hilir,149022
Kepulauan Meranti,-
Kota Pekanbaru,227300
Kota Dumai,146316
JAMBI,129805
Kerinci,129948
Merangin,123390
Sarolangun,137564
Batang Hari,153162
Muaro Jambi,146334
Tanjung Jabung Timur,126428
Tanjung Jabung Barat,134326
Tebo,116371
Bungo,113743
Kota Jambi,126008
Kota Sungai Penuh,-
SUMATERA SELATAN,124353
Ogan Komering Ulu,115277
Ogan Komering Ilir,126043
Muara Enim,126857
Lahat,117331
Musi Rawas,128205
Musi Banyuasin,120243
Banyu Asin,107295
Ogan Komering Ulu Selatan,-
Ogan Komering Ulu Timur,-
Ogan Ilir,-
Empat Lawang,-
Penukal Abab Lematang Ilir,-
Musi Rawas Utara,-
Kota Palembang,146920
Kota Prabumulih,116839
Kota Pagar Alam,99303
Kota Lubuklinggau,118017
BENGKULU,115569
Bengkulu Selatan,112890
Rejang Lebong,114776
Bengkulu Utara,124072
Kaur,115145
Seluma,115171
Mukomuko,125169
Lebong,-
Kepahiang,-
Bengkulu Tengah,-
Kota Bengkulu,133048
LAMPUNG,117135
Lampung Barat,109055
Tanggamus,111928
Lampung Selatan,104567
Lampung Timur,116500
Lampung Tengah,110467
Lampung Utara,124423
Way Kanan,106769
Tulangbawang,97184
Pesawaran,-
Pringsewu,-
Mesuji,-
Tulang Bawang Barat,-
Pesisir Barat,-
Kota Bandar Lampung,133473
Kota Metro,124744
KEP. BANGKA BELITUNG,151243
Bangka,139607
Belitung,155463
Bangka Barat,141976
Bangka Tengah,143381
Bangka Selatan,142131
Belitung Timur,154379
Kota Pangkal Pinang,223095
KEPULAUAN RIAU,-
Karimun,129849
Bintan,147490
Natuna,100867
Lingga,-
Kepulauan Anambas,-
Kota Batam,238828
Kota Tanjung Pinang,235633
DKI JAKARTA,197306
Kepulauan Seribu,184172
Kota Jakarta Selatan,234886
Kota Jakarta Timur,197300
Kota Jakarta Pusat,215290
Kota Jakarta Barat,193289
Kota Jakarta Utara,225443
JAWA BARAT,137929
Bogor,130927
Sukabumi,111202
Cianjur,121902
Bandung,133578
Garut,108266
Tasikmalaya,116024
Ciamis,123217
Kuningan,130531
Cirebon,120346
Majalengka,122685
Sumedang,154743
Indramayu,159901
Subang,150674
Purwakarta,123484
Karawang,134675
Bekasi,114624
Bandung Barat,-
Pangandaran,-
Kota Bogor,168111
Kota Sukabumi,131738
Kota Bandung,173945
Kota Cirebon,126523
Kota Bekasi,163385
Kota Depok,162352
Kota Cimahi,156533
Kota Tasikmalaya,139350
Kota Banjar,96653
JAWA TENGAH,126651
Cilacap,123822
Banyumas,140153
Purbalingga,132016
Banjarnegara,119127
Kebumen,107637
Purworejo,118385
Wonosobo,128514
Magelang,113953
Boyolali,121025
Klaten,160796
Sukoharjo,150254
Wonogiri,132197
Karanganyar,134693
Sragen,136527
Grobogan,126471
Blora,112729
Rembang,139921
Pati,160096
Kudus,152203
Jepara,134066
Demak,136777
Semarang,171907
Temanggung,106292
Kendal,150584
Batang,96516
Pekalongan,151665
Pemalang,125554
Tegal,126516
Brebes,133321
Kota Magelang,163504
Kota Surakarta,154749
Kota Salatiga,136723
Kota Semarang,133814
Kota Pekalongan,139571
Kota Tegal,167621
D I YOGYAKARTA,134371
Kulon Progo,129057
Bantul,126748
Gunung Kidul,121436
Sleman,154689
Kota Yogyakarta,168310
JAWA TIMUR,127524
Pacitan,108907
Ponorogo,113108
Trenggalek,104008
Tulungagung,131699
Blitar,124228
Kediri,114078
Malang,110788
Lumajang,103152
Jember,102
Banyuwangi,125852
Bondowoso,125855
Situbondo,114362
Probolinggo,131215
Pasuruan,135756
Sidoarjo,155809
Mojokerto,137205
Jombang,132045
Nganjuk,119543
Madiun,125155
Magetan,119386
Ngawi,113133
Bojonegoro,114085
Tuban,121407
Lamongan,145808
Gresik,174143
Bangkalan,117161
Sampang,130333
Pamekasan,133362
Sumenep,138383
Kota Kediri,154328
Kota Blitar,150113
Kota Malang,160061
Kota Probolinggo,167914
Kota Pasuruan,151586
Kota Mojokerto,149729
Kota Madiun,123923
Kota Surabaya,164834
Kota Batu,141228
BANTEN,133534
Pandeglang,133300
Lebak,125097
Tangerang,132108
Serang,111352
Kota Tangerang,172188
Kota Cilegon,141386
Kota Serang,-
Kota Tangerang Selatan,-
BALI,147617
Jembrana,159386
Tabanan,163136
Badung,142080
Gianyar,148762
Klungkung,217671
Bangli,156371
Karang Asem,113568
Buleleng,127678
Kota Denpasar,179378
NUSA TENGGARA BARAT,116145
Lombok Barat,121022
Lombok Tengah,116056
Lombok Timur,118740
Sumbawa,144196
Dompu,122797
Bima,93421
Sumbawa Barat,-
Lombok Utara,-
Kota Mataram,117114
Kota Bima,99052
NUSA TENGGARA TIMUR,102695
Sumba Barat,93882
Sumba Timur,110479
Kupang,96416
Timor Tengah Selatan,95207
Timor Tengah Utara,104810
Belu,97100
Alor,95540
Lembata,112341
Flores Timur,105049
Sikka,101419
Ende,93279
Ngada,101893
Manggarai,102511
Rote Ndao,84811
Manggarai Barat,101175
Sumba Tengah,-
Sumba Barat Daya,-
Nagekeo,-
Manggarai Timur,-
Sabu Raijua,-
Malaka,-
Kota Kupang,112962
KALIMANTAN BARAT,118838
Sambas,109908
Bengkayang,113265
Landak,98609
Pontianak,106481
Sanggau,99107
Ketapang,118686
Sintang,132380
Kapuas Hulu,150816
Sekadau,-
Melawi,-
Kayong Utara,-
Kubu Raya,-
Kota Pontianak,160881
Kota Singkawang,112265
KALIMANTAN TENGAH,134374
Kotawaringin Barat,128841
Kotawaringin Timur,146075
Kapuas,125695
Barito Selatan,120257
Barito Utara,141579
Sukamara,92706
Lamandau,118580
Seruyan,148731
Katingan,117859
Pulang Pisau,95134
Gunung Mas,133714
Barito Timur,135895
Murung Raya,108039
Kota Palangka Raya,106728
KALIMANTAN SELATAN,121879
Tanah Laut,126391
Kota Baru,137888
Banjar,104466
Barito Kuala,109686
Tapin,117150
Hulu Sungai Selatan,127835
Hulu Sungai Tengah,111519
Hulu Sungai Utara,115961
Tabalong,107964
Tanah Bumbu,137205
Balangan,115006
Kota Banjarmasin,109057
Kota Banjar Baru,136535
KALIMANTAN TIMUR,165755
Paser,141437
Kutai Barat,177541
Kutai Kartanegara,169052
Kutai Timur,181000
Berau,130393
Penajam Paser Utara,171476
Mahakam Hulu,-
Kota Balikpapan,153893
Kota Samarinda,160414
Kota Bontang,204797
KALIMANTAN UTARA,165755
Malinau,339182
Bulungan,201786
Tana Tidung,-
Nunukan,171122
Kota Tarakan,167306
SULAWESI UTARA,136470
Bolaang Mongondow,118324
Minahasa,131220
Kepulauan Sangihe,136044
Kepulauan Talaud,120654
Minahasa Selatan,164969
Minahasa Utara,-
Bolaang Mongondow Utara,-
Siau Tagulandang Biaro,-
Minahasa Tenggara,-
Bolaang Mongondow Selatan,-
Bolaang Mongondow Timur,-
Kota Manado,144230
Kota Bitung,167158
Kota Tomohon,160088
Kota Kotamobagu,-
SULAWESI TENGAH,124133
