38 Provinsi,,,
,Tingkat Pengangguran Terbuka Menurut Provinsi (Persen),,
,1999,,
,Februari,Agustus,Tahunan
ACEH,-,-,7.56
SUMATERA UTARA,-,-,7.67
SUMATERA BARAT,-,-,5.88
RIAU,-,-,7.62
JAMBI,-,-,3.47
SUMATERA SELATAN,-,-,5.03
BENGKULU,-,-,3.39
LAMPUNG,-,-,4.58
KEP. BANGKA BELITUNG,-,-,-
KEP. RIAU,-,-,-
DKI JAKARTA,-,-,15.01
JAWA BARAT,-,-,9.83
JAWA TENGAH,-,-,4.35
DI YOGYAKARTA,-,-,3.74
JAWA TIMUR,-,-,4.95
BANTEN,-,-,-
BALI,-,-,2.49
NUSA TENGGARA BARAT,-,-,1.44
NUSA TENGGARA TIMUR,-,-,2.93
KALIMANTAN BARAT,-,-,2.02
KALIMANTAN TENGAH,-,-,3.67
KALIMANTAN SELATAN,-,-,2.37
KALIMANTAN TIMUR,-,-,10.99
KALIMANTAN UTARA,-,-,-
SULAWESI UTARA,-,-,7.75
SULAWESI TENGAH,-,-,4.39
SULAWESI SELATAN,-,-,6.48
SULAWESI TENGGARA,-,-,4.36
GORONTALO,-,-,-
SULAWESI BARAT,-,-,-
MALUKU,-,-,4.7
MALUKU UTARA,-,-,-
PAPUA BARAT,-,-,-
PAPUA BARAT DAYA,-,-,-
PAPUA,-,-,6.42
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,-,-,6.36
