Data Komentar Balasan (Edge/Reply Nodes),,,,,,,,,,,,,
ID Unik,Jenis Konten,Tautan Konten,Username,Teks Konten,Sentimen,Jumlah Views,Jumlah Likes,Jumlah Komentar,Jumlah Shares,Tahun,Balasan ID Komentar,Platform,Lokasi
T051,Komentar Balasan,https://vt.tiktok.com/ZSPyknAdb/,Mec,"@Mec: Btw yang di cari perempuan , betul ga min ?",,,63,5,,2021,T01,TikTok,Indonesia
T052,Komentar Balasan,https://vt.tiktok.com/ZSPyknAdb/,Rodiah antegras,"@Rodiah antegras: BUMN mana,karna skr banyak sudah holding",,,25,3,,2021,T01,TikTok,Indonesia
T053,Komentar Balasan,https://vt.tiktok.com/ZSPyknAdb/,kingbrow7,@kingbrow7: saya pengen krj tpi saya mau nya jadi tukang bersih bersh OB mau di tempatkn di mana saja saya siap krj 🙏,,,13,4,,2021,T01,TikTok,Indonesia
T054,Komentar Balasan,https://vt.tiktok.com/ZSPyknAdb/,Heart Screamer,@Heart Screamer: Harus jd penjilat dlu ya guys biar ditrima,,,6,3,,2021,T01,TikTok,Indonesia
T055,Komentar Balasan,https://vt.tiktok.com/ZSPyUtkHd/,puteraa,"@puteraa: nganggur 2 bulan gak ngapa-ngapain sementara istri hamil, pas pesangon udah habis baru cari kerja lagi, mindset kek gini tolong dirubah",,,553,80,,2021,T02,TikTok,Indonesia
T056,Komentar Balasan,https://vt.tiktok.com/ZSPyUtkHd/,gaza,@gaza: saya udah 7 bulan pak sudah kesana kemari email sana sini belum ada hasil nya pak 😌😌😭😭 semoga kita kuat pak,,,116,15,,2021,T02,TikTok,Indonesia
T057,Komentar Balasan,https://vt.tiktok.com/ZSPyUtkHd/,joans_parents☑️,"@joans_parents☑️: saya gak kerja sehari rasane wes bingung,, bedo lagi kalau emang keadaan sakit,, wahh midset seperti ini tolong dirubah",,,80,2,,2021,T02,TikTok,Indonesia
T058,Komentar Balasan,https://vt.tiktok.com/ZSPyUtkHd/,Tri Septiyanto535,"@Tri Septiyanto535: saya setahun nganggur ngelamar sudah email nyampe seratus x,di bawa orang,keliling dor to dor ke pabrik sehari bawa lamaran 3 ga ada yg nyantol😔",,,4,5,,2021,T02,TikTok,Indonesia
T059,Komentar Balasan,https://vt.tiktok.com/ZSPyPbJyx/,Binds Store,"@Binds Store: ga ngaruh woy, tetep yg paling utama itu orang dalem😄",,,8819,151,,2021,T03,TikTok,Indonesia
T060,Komentar Balasan,https://vt.tiktok.com/ZSPyPbJyx/,Dian Nangin,"@Dian Nangin: setahun nganggur, diomongin orang, diremehin orang, ngelamar sana sini tetap gk dapat pekerjaan, sedihlah pokoknya.☹️😭",,,1047,68,,2021,T03,TikTok,Indonesia
T061,Komentar Balasan,https://vt.tiktok.com/ZSPyPbJyx/,Buciin🌋,@Buciin🌋: sdah 1 th lebih jadi pengangguran. buat yg senasib smg kita cpat dapat pekerjaan yg halal dan layak amiiin,,,648,38,,2021,T03,TikTok,Indonesia
T062,Komentar Balasan,https://vt.tiktok.com/ZSPyPbJyx/,flouqisvy,"@flouqisvy: doain aku dapet kerja secepetnyaa, biar bisa nafkahin orang tua🥺",,,614,18,,2021,T03,TikTok,Indonesia
T063,Komentar Balasan,https://vt.tiktok.com/ZSPym38u5/,buketmawar,"@buketmawar: Sudah daftar, bismillah. allahumma sholliala sayyudina muhammad wa ala ali sayyidina muhammad semoga aku lolos aamiin🤗",,,47,29,,2021,T04,TikTok,Indonesia
T064,Komentar Balasan,https://vt.tiktok.com/ZSPym38u5/,co,@co: yah gabisa ya tamatan smk,,,20,11,,2021,T04,TikTok,Indonesia
T065,Komentar Balasan,https://vt.tiktok.com/ZSPym38u5/,Jasmine,"@Jasmine: buat teknik aja, sistem informasi gabisa 😭😭😭",,,18,13,,2021,T04,TikTok,Indonesia
T066,Komentar Balasan,https://vt.tiktok.com/ZSPym38u5/,IFVN🦖,@IFVN🦖: Kenapa ada batasan umur maksimal 27 Tahun?,,,1,9,,2021,T04,TikTok,Indonesia
T067,Komentar Balasan,https://vt.tiktok.com/ZSPyXsDTc/,devianaamalia,"@devianaamalia: 2taun nganggur susah banget cari kerja, tp alhamdulillah skrng udah",,,293,26,,2021,T05,TikTok,Indonesia
T068,Komentar Balasan,https://vt.tiktok.com/ZSPyXsDTc/,bergerak ke alam baka,"@bergerak ke alam baka: Semua orang terlalu memperhatikan cv mereka,tapi mereka lupa bahwa salah satu unsur penting nya adalah REZEKI.Perbanyak berdoa dan beribadah aja,",,,140,3,,2021,T05,TikTok,Indonesia
T069,Komentar Balasan,https://vt.tiktok.com/ZSPyXsDTc/,noorcomeiscoming,"@noorcomeiscoming: 2 tahun, dari sebelum pandemi😌 mana ortu uda pensiun huhu sedih",,,94,11,,2021,T05,TikTok,Indonesia
T070,Komentar Balasan,https://vt.tiktok.com/ZSPyXsDTc/,Vallia,@Vallia: setaun lebih ka🥺,,,93,10,,2021,T05,TikTok,Indonesia
