DATA EKSTERNAL (DATA MEDIA SOSIAL) TIKTOK,,,,,,,,,,,,,
DATA KONTEN UTAMA DAN BALASAN KOMENTAR,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data Postingan Utama (Content Nodes),,,,,,,,,,,,,
ID Unik,Jenis Konten,Tautan Konten,Username,Teks Konten,Sentimen,Jumlah Views,Jumlah Likes,Jumlah Komentar,Jumlah Shares,Tahun,Balasan ID Komentar,Platform,Lokasi
T01,Postingan Utama,https://vt.tiktok.com/ZSPyknAdb/,tribuntimur.com,"Lowongan kerja terbaru perusahaan BUMN cari tamatan SMA/SMK/MS/paket C, minat? Daftar di sini",,3953000,15900,193,1406,2021,,TikTok,Indonesia
T02,Postingan Utama,https://vt.tiktok.com/ZSPyUtkHd/,mba.lumina,"Setelah satu bulan di PHK, begini ceritanya",,1500000,41800,451,174,2021,,TikTok,Indonesia
T03,Postingan Utama,https://vt.tiktok.com/ZSPyPbJyx/,aevafatma,Upgrade surat lamaran kerja biar dilirik HRD,,5300000,552200,2581,18600,2021,,TikTok,Indonesia
T04,Postingan Utama,https://vt.tiktok.com/ZSPym38u5/,pertamina,Daftar rekrutmen BPS,,339200,19000,821,2117,2021,,TikTok,Indonesia
T05,Postingan Utama,https://vt.tiktok.com/ZSPyXsDTc/,lovlavina,Sudah berbulan-bulan ga dapet kerja di tambah lagi pandemi makin susahlagi cari kerja ujung-ujungnya sampe sekarang belum dapet,,294800,25400,441,397,2021,,TikTok,Indonesia
T06,Postingan Utama,https://vt.tiktok.com/ZSPyq6pAU/,estherlubis,"Ceritakan apa yang terjadi di hidupmu dan keluargamu selama PPKM, good bless everyone",,93500,9354,69,461,2021,,TikTok,Indonesia
T07,Postingan Utama,https://vt.tiktok.com/ZSPf35YCT/,anggunvidiaa,Informasi buat kalian yang mau jadi bagian dari KAI,,126600,10800,705,157,2021,,TikTok,Indonesia
T08,Postingan Utama,https://vt.tiktok.com/ZSPfKj5NS/,akmalalfaridzi24,Salam amplop coklat,,34100,1765,246,8,2021,,TikTok,Indonesia
T09,Postingan Utama,https://vt.tiktok.com/ZSPfEYWcB/,farhanadili,"Sudah berusaha tapi belum ada hasil, maaf",,611900,61500,4840,1236,2021,,TikTok,Indonesia
T10,Postingan Utama,https://vt.tiktok.com/ZSPfoK14B/,vmuliana,Cara masuk BUMN,,500400,33100,359,1128,2021,,TikTok,Indonesia
T11,Postingan Utama,https://vt.tiktok.com/ZSPPeyW7d/,jobrove.com,Mau kerja dimana?,,2000000,29600,327,254,2022,,TikTok,Indonesia
T12,Postingan Utama,https://vt.tiktok.com/ZSPP8RASY/,ww.197,"Lebih baik cape cari kerja, dari pada cape nyari kerja",,2800000,102600,3579,6958,2022,,TikTok,Indonesia
T13,Postingan Utama,https://vt.tiktok.com/ZSPPLBBEL/,aculsss,"Yang setiap harinya masih ada kegiatan untuk bekerja, yang setiap bulannya masih ada penghasilan, yuk sama-sama kita bersyukur",,1100000,79100,3743,6229,2022,,TikTok,Indonesia
T14,Postingan Utama,https://vt.tiktok.com/ZSPPNxJUV/,markat.id,Ada yang jadi korban PHK shopee gak nih?,,1200000,36400,1275,2822,2022,,TikTok,Indonesia
T15,Postingan Utama,https://vt.tiktok.com/ZSPPYFafa/,syekharpi,BPS: sarjana yang menganggur hampir 1 juta orang,,189400,15500,151,621,2022,,TikTok,Indonesia
T16,Postingan Utama,https://vt.tiktok.com/ZSPPjMuuS/,tbglobal.id,Mana nih yang pengen gabung BLPK? ada info loker buat kamu di sini,,440300,22400,209,862,2022,,TikTok,Indonesia
T17,Postingan Utama,https://vt.tiktok.com/ZSPP6PbCu/,kuykoreapedia,Semangat buat pejuang loker,,136900,6925,323,259,2022,,TikTok,Indonesia
T18,Postingan Utama,https://vt.tiktok.com/ZSPPMXpLW/,mba_s003,Pengangguran kumpul sini,,112300,9938,1094,112,2022,,TikTok,Indonesia
T19,Postingan Utama,https://vt.tiktok.com/ZSPPh1ENB/,intanerliann,Cari loker gampang buat lulusan SMA/SMK,,1400000,147200,1340,3736,2022,,TikTok,Indonesia
T20,Postingan Utama,https://vt.tiktok.com/ZSPPktMWB/,cocolatee4,Bismillah yuk Istiqomah jalur langit,,248500,9623,243,544,2022,,TikTok,Indonesia
T21,Postingan Utama,https://vt.tiktok.com/ZSPPAFdEq/,geraldvincentt,"Pengangguran di indonesia banyak banget? 7,86 juta orang ? ko bisa",,434900,23100,793,344,2023,,TikTok,Indonesia
T22,Postingan Utama,https://vt.tiktok.com/ZSPPDkn5q/,dandyzeo,Patungan ajalah bikin pt sendiri,,1300000,77900,3214,1871,2023,,TikTok,Indonesia
T23,Postingan Utama,https://vt.tiktok.com/ZSPPU6CX2/,devandemotivator,Jumlah pengangguran udah melebihi UMR daerah mu,,176300,7141,516,432,2023,,TikTok,Indonesia
T24,Postingan Utama,https://vt.tiktok.com/ZSPPyyvXR/,growthacker_id,"Ya gimana ya, sekarang freshgrad dituntut punya pengalaman 2 tahun bekerja",,512800,69800,313,944,2023,,TikTok,Indonesia
T25,Postingan Utama,https://vt.tiktok.com/ZSPPfF4Ek/,idxchannel,"Angka pengangguran mencapai 8,4 juta orang",,36600,996,124,480,2023,,TikTok,Indonesia
T26,Postingan Utama,https://vt.tiktok.com/ZSPPPJd3F/,kingppwhite,Kerasa banget vibes penganggurannya,,1700000,221300,4523,33700,2023,,TikTok,Indonesia
T27,Postingan Utama,https://vt.tiktok.com/ZSPP5t9L2/,henrianriyadi,Ngelamar tapi ga ada panggilan?Interview di tanya gaji mulu tapi ga ada kelanjutan ,,15200000,1400000,11900,44500,2023,,TikTok,Indonesia
